"Country","Year","Male_Life_Expectancy","female_Life_Expectancy","GDP","Marriage_rate","Same_sex_marriage","Births_outside_marriage","Divorce_rate","Estimated_average_age_at_marriage_women","births_per_woman","average_years_of_schooling_of_women_in_reproductive_age","Population_est"
"Germany",1995,73.234,79.738,23659.435696,5300,"not legal",16.1,2.0999999,26.700001,1.313,9.59905,81138653
"Germany",2000,74.811,80.93,27450.968334,5100,"not legal",23.4,2.4000001,27.700001,1.35,10.14722,81400883
"Germany",2005,76.338,81.959,32236.740986,4700,"not legal",29.2,2.4000001,29.1,1.352,11.7662,81602739
"Greece",1990,73.711,79.489,13214.421156,5800,"not legal",2.2,0.60000002,24.9,1.42,10.02799,10225990
"Greece",1995,75.171,80.429,15424.465022,6100,"not legal",3,1,26,1.329,10.38584,10745502
"Greece",2000,75.866,81.358,19516.213938,4500,"not legal",4,1,27.200001,1.284,10.66628,11082103
"Greece",2005,76.83,82.37,25577.445437,5500,"not legal",5.1,1.2,28.299999,1.358,11.58058,11224800
"Greece",2010,77.888,83.255,27913.001545,5100,"not legal",7.3,1.2,29.299999,1.392,11.94519,10887640
"Hungary",1995,65.544,74.683,9187.36458,5200,"not legal",20.7,2.4000001,23.1,1.559,11.05961,10349308
"Hungary",2000,67.407,76.057,11853.178571,4700,"not legal",29,2.3,24.799999,1.307,11.68146,10220509
"Hungary",2005,68.928,77.285,17112.202187,4400,"not legal",35,2.5,26.700001,1.304,12.03843,10085942
"Hungary",2010,70.564,78.242,21751.833925,3600,"some rights",40.8,2.4000001,28.299999,1.321,11.95175,9927380
"Iceland",1990,75.732,80.476,21976.893064,4500,"not legal",55.2,1.9,26.9,2.157,9.834145,255044
"Iceland",1995,76.549,81.007,23948.020432,4600,"not legal",60.9,1.8,28.799999,2.132,10.44296,267627
"Iceland",2000,77.848,81.917,29779.622737,6300,"not legal",65.2,1.9,30.6,2.005,10.94124,280439
"Iceland",2005,79.218,82.949,37427.934965,5400,"not legal",65.7,1.9,31.5,2.069,11.62922,294976
"Iceland",2010,80.084,83.498,39780.425359,4900,"legal",64.3,1.8,32.400002,2.083,12.39173,320342
"Ireland",2005,76.374,81.26,40465.540236,5100,"not legal",31.8,0.80000001,30.5,1.974,12.32439,4141218
"Ireland",2010,78.058,82.284,43206.800069,4500,"not legal",33.8,0.69999999,31.299999,1.999,12.68353,4554330
"Israel",2005,78.184,82.205,24742.795915,5900,"not legal",5.5,1.6,24.6,2.909,12.23803,6529470
"Israel",2010,79.531,83.256,28850.555305,6300,"some rights",5.8,1.7,24.799999,2.987,12.73561,7346446
"Italy",1990,73.613,80.189,18627.654372,5600,"not legal",6.5,0.5,25.9,1.3,8.940701,57048237
"Italy",1995,74.828,81.277,22382.888423,5100,"not legal",8.1,0.5,26.9,1.235,9.847032,57174412
"Italy",2000,76.46,82.483,27072.426242,5000,"not legal",9.7,0.69999999,27.799999,1.255,10.46696,56692178
"Italy",2005,78.091,83.623,30028.488979,4300,"not legal",15.2,0.80000001,29.1,1.382,10.89173,58281209
"Italy",2010,79.35,84.383,34839.916955,3700,"not legal",21.5,0.89999998,30.299999,1.445,11.35855,59325232
"Japan",1990,75.943,81.888,20289.488255,5900,"not legal",1.1,1.3,25.9,1.563,11.51753,124505243
"Japan",1995,76.648,83.048,23865.913636,6400,"not legal",1.2,1.6,26.299999,1.414,12.1843,126365486
"Japan",2000,77.681,84.484,27289.851934,6400,"not legal",1.6,2.0999999,27,1.322,12.56442,127524168
"Japan",2005,78.734,85.64,32174.400107,5700,"not legal",2,2.0999999,28,1.308,12.91246,128326115
"Japan",2010,79.588,86.214,35342.824721,5500,"not legal",2.1,2,28.799999,1.379,12.94536,128542349
"Latvia",2005,65.506,76.555,13914.102605,5600,"not legal",44.7,2.8,25.799999,1.395,11.05295,2251996
"Latvia",2010,67.48,77.903,17709.155456,4400,"not legal",44.4,2.4000001,27.1,1.494,11.4121,2118855
"Lithuania",1995,64.036,75.559,5927.331113,6100,"not legal",12.8,2.8,22.6,1.64,10.87253,3626609
"Lithuania",2000,65.111,76.845,8445.984466,4800,"not legal",22.6,3.0999999,23.799999,1.338,10.7326,3501842
"Lithuania",2005,65.764,77.661,14510.653684,6000,"not legal",28,3.3,25,1.319,11.20839,3344259
"Lithuania",2010,67.135,78.454,20096.756354,6000,"not legal",25.7,3.2,26.5,1.51,11.73998,3123825
"Luxembourg",1990,71.487,78.71,29928.565386,6100,"not legal",12.8,2,25.6,1.562,9.115874,381780
"Luxembourg",1995,72.918,79.675,38242.303017,5100,"not legal",13.1,1.8,26.700001,1.711,9.543327,408145
"Luxembourg",2000,74.346,80.82,55032.143721,4900,"not legal",21.9,2.4000001,27.4,1.695,9.856388,436106
"Luxembourg",2005,75.894,81.761,68707.781706,4400,"not legal",27.2,2.2,28.9,1.638,10.57241,457848
"Luxembourg",2010,77.785,82.819,90257.591595,3500,"not legal",34,2.0999999,30.200001,1.588,11.32367,507890
"Mexico",1995,69.859,75.348,8231.658739,7000,"not legal",37.1,0.40000001,20,3.018,7.190989,91663290
"Mexico",2010,72.135,77.979,15252.073238,5000,"some rights",59.4,0.80000001,26.200001,2.34,9.425871,114092961
"Netherlands",1990,73.824,80.069,19171.411116,6500,"not legal",11.4,1.9,26.1,1.575,10.63524,14965442
"Netherlands",1995,74.611,80.323,23433.663488,5300,"not legal",15.5,2.2,27.299999,1.588,10.92608,15467852
"Netherlands",2000,75.585,80.654,31869.842367,5500,"legal",24.9,2.2,28,1.67,11.14206,15926188
"Netherlands",2005,77.111,81.544,37625.252435,4400,"legal",34.9,2,29.200001,1.754,11.21298,16367153
"Netherlands",2010,78.745,82.714,45044.969112,4500,"legal",44.3,2,29.799999,1.745,11.86591,16682927
"New Zealand",1995,74.229,79.707,17831.916527,5600,"not legal",40.7,2.5999999,25.799999,2.012,12.01019,3674940
"New Zealand",2000,75.848,80.731,21470.850533,5400,"not legal",43.2,2.5,27.4,1.929,12.67723,3858992
"New Zealand",2005,77.567,81.825,25590.127446,5000,"not legal",45.2,2.4000001,28.200001,2.053,12.753,4135353
"New Zealand",2010,78.94,82.736,31135.864443,4900,"not legal",48.9,2,28.200001,2.113,11.74198,4370060
